domain,expiry_date,days_left,status,incident,renewal,task,owner,priority,action
openai.com,,-1,BROKEN,BROKEN,NO_ACTION,"📋 **Task:** OpenAI Domain Renewal - Urgent Action Required

🚨 **Priority:** HIGH

⚙️ **Action Steps:**
• Verify the domain openai.com with the registrar to determine the reason for the broken status.
• Reach out to the OpenAI team and request an immediate domain renewal, ensuring the correct payment method is updated.",secops-triage-team,HIGH,"• Verify the domain openai.com with the registrar to determine the reason for the broken status.
• Reach out to the OpenAI team and request an immediate domain renewal, ensuring the correct payment method is updated."
wikipedia.org,2026-07-06 20:52:29,27,WARNING,P2 - WARNING,RENEWAL_TRIGGERED,"📋 **Task:** Wikipedia Domain Security Alert: 27 Days Left (WARNING)

🚨 **Priority:** HIGH

⚙️ **Action Steps:**
• Verify Wikipedia domain configuration and update SSL certificate if necessary.
• Run security scans to identify potential vulnerabilities and implement patches or fixes as needed.",secops-triage-team,HIGH,"• Verify Wikipedia domain configuration and update SSL certificate if necessary.
• Run security scans to identify potential vulnerabilities and implement patches or fixes as needed."
apple.com,2026-07-16 18:52:56,37,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Remediation for Apple Domain Certificate Expiration (apple.com)

🚨 **Priority:** HIGH

⚙️ **Action Steps:**
• Verify the certificate renewal process is initiated for apple.com
• Monitor certificate expiration notifications and escalate if necessary",secops-triage-team,HIGH,"• Verify the certificate renewal process is initiated for apple.com
• Monitor certificate expiration notifications and escalate if necessary"
stackoverflow.com,2026-07-18 13:32:17,39,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Review SSL Certificate configuration for stackoverflow.com

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Run standard diagnostics scan.
• Verify infrastructure path availability.",platform-team,LOW,"• Run standard diagnostics scan.
• Verify infrastructure path availability."
github.com,2026-08-02 23:59:59,54,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** github.com Domain Maintenance Checkup

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Verify the domain github.com is correctly configured and up-to-date with latest security patches.
• Run a thorough scan to identify any potential vulnerabilities or misconfigurations.",secops-triage-team,LOW,"• Verify the domain github.com is correctly configured and up-to-date with latest security patches.
• Run a thorough scan to identify any potential vulnerabilities or misconfigurations."
cloudflare.com,2026-08-08 22:14:02,60,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Review SSL Certificate configuration for cloudflare.com

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Run standard diagnostics scan.
• Verify infrastructure path availability.",platform-team,LOW,"• Run standard diagnostics scan.
• Verify infrastructure path availability."
google.com,2026-08-10 18:35:27,62,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Google.com Domain Renewal Checkup

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Verify domain renewal status for google.com and ensure it is properly configured to avoid potential downtime.
• Review domain registration records to confirm the domain's expiration date and take proactive measures if necessary.",secops-triage-team,LOW,"• Verify domain renewal status for google.com and ensure it is properly configured to avoid potential downtime.
• Review domain registration records to confirm the domain's expiration date and take proactive measures if necessary."
microsoft.com,2026-11-08 23:30:11,152,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Microsoft.com Domain Certificate Renewal

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Verify the certificate renewal process is configured correctly for microsoft.com domain.
• Schedule a future reminder to review and renew the certificate 30 days prior to its expiration date.",secops-triage-team,LOW,"• Verify the certificate renewal process is configured correctly for microsoft.com domain.
• Schedule a future reminder to review and renew the certificate 30 days prior to its expiration date."
amazon.com,2026-11-18 23:59:59,162,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Amazon.com Certificate Renewal

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Verify the certificate renewal process is configured for amazon.com.
• Check the certificate's expiration date and ensure it's within the expected range.",secops-triage-team,LOW,"• Verify the certificate renewal process is configured for amazon.com.
• Check the certificate's expiration date and ensure it's within the expected range."
python.org,2027-02-14 13:03:45,250,HEALTHY,P3 - OK,NO_ACTION,"📋 **Task:** Review SSL Certificate configuration for python.org

🚨 **Priority:** LOW

⚙️ **Action Steps:**
• Run standard diagnostics scan.
• Verify infrastructure path availability.",platform-team,LOW,"• Run standard diagnostics scan.
• Verify infrastructure path availability."
